SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PI3	PYCARD	TIGIT2
93	P5_SEB	1.247000	38.648000	 5.257	28.110000	3.459000	11.862000	41.633	114.722	8.519	7.608	0.653000	3.959	NA	203.469	 5.631
94	P6_72h	0.108000	 0.040978	 1.570	 0.351000	1.263000	 3.646000	NA	NA	NA	NA	0.000055	0.824	NA	167.343	 1.398
95	P6_PMA	1.432000	 1.907000	 0.800	 1.562000	0.892000	 2.426000	0.778	0.709	0.645	10.407	0.490000	0.609	NA	  3.268	 1.341
96	P6_SEB	1.026000	19.041000	 5.399	12.805000	2.691000	12.289000	4.840	45.738	2.993	7.827	0.248000	2.481	NA	114.431	 3.113
97	P7_72h	0.608000	 0.177000	 8.409	 1.833000	1.867000	 0.860000	NA	NA	NA	NA	0.000048	2.375	NA	 80.263	 4.232
98	P7_PMA	2.228000	 4.050000	 7.844	 4.093000	1.036000	 4.682000	142.881	138.046	198.363	53.378	3.755000	0.624	NA	  0.746	 2.581
99	P7_SEB	1.670000	12.332000	18.905	37.870000	4.862000	64.044000	7.055	136.744	47.824	14.549	1.550000	5.161	NA	 57.123	10.684
100	P8_72h	0.399000	 0.585000	 8.944	 3.209000	1.344000	 7.853000	NA	NA	NA	NA	NA	1.425	NA	204.600	 3.533
101	P8_PMA	2.915000	 9.082000	 2.424	 9.105000	0.673000	 8.276000	20.061	7.870	17.659	29.415	0.415000	0.606	NA	  2.797	 4.761
102	P8_SEB	1.983000	26.508000	 8.384	40.206000	NA	 3.970000	12.252	154.236	15.996	7.547	0.169000	3.731	NA	127.734	 8.250
103	P9_72h	0.638000	 0.634000	 6.846	 3.326000	2.351000	 2.344000	NA	0.136	NA	NA	0.000239	1.720	NA	109.668	 2.781
104	P9_PMA	4.534000	10.222000	 5.930	 6.805000	1.057000	16.363000	39.735	18.861	21.741	17.123	1.079000	0.657	NA	  2.037	 1.887
105	P9_SEB	2.377000	24.045000	13.645	41.308000	3.832000	40.095000	8.612	82.101	8.301	13.950	0.776000	5.477	NA	109.314	 6.216
